Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 JOÃO CHRISÓSTOMO DE MOURA,91.0,M,100,11167559.0
 MARCIO TADEU ANHAIA DE LEMOS,88.0,M,100,11167559.0
 LUIS ANTONIO FRANCISCATTO COVATTI,91.0,M,100,11167559.0
 CRISTIANO DUTRA VALE,82.0,M,,
 JOSIAS MARIO DA VITORIA,91.0,M,100,11167559.0
 DAGOBERTO NOGUEIRA FILHO,82.0,M,100,11167559.0
 DAMIÃO FELICIANO DA SILVA,83.0,M,100,11167559.0
 DANIEL GOMES DE ALMEIDA,92.0,M,100,11167559.0
 DANIEL PIRES COELHO,93.0,M,100,11167559.0
 DANIEL COSTA DE FREITAS,79.0,M,,
 DANIEL LUCIO DA SILVEIRA,89.0,M,100,11167559.0
 DANIEL TRZECIAK DUARTE,87.0,M,100,11167559.0
 DANILO JORGE DE BARROS CABRAL,85.0,M,100,11167559.0
 FRANCISCO DANILO BASTOS FORTE,88.0,M,100,11167559.0
 DANRLEI DE DEUS HINTERHOLZ,52.0,M,100,11167559.0
 DARCI DE MATOS,82.0,M,100,11167559.0
 DAVID MICHAEL DOS SANTOS MIRANDA,66.0,M,100,11167559.0
 DAVID BEZERRA RIBEIRO SOARES,63.0,M,100,11167559.0
 ANTÔNIO DA LUZ FURTADO,92.0,M,100,11167559.0
 EDER MAURO CARDOSO BARRA,81.0,M,100,11167559.0
 MARCELO EDUARDO FREITAS,82.0,M,100,11167559.0
 PABLO OLIVA SOUZA,80.0,M,100,11167559.0
 WALDIR SOARES DE OLIVEIRA,88.0,M,100,11167559.0
 DENIS ANDERSON DA ROCHA BEZERRA,90.0,M,100,11167559.0
 DIEGO LEONARDO DE ANDRADE CARVALHO,72.0,M,100,11167559.0
 DIEGO ALEXSANDER GONCALO PAULA GARCIA,91.0,M,100,11167559.0
 DIMAS FABIANO TOLEDO JÚNIOR,88.0,M,100,11167559.0
 DOMINGOS GOMES DE AGUIAR NETO,81.0,M,100,11167559.0
 DOMINGOS SÁVIO CAMPOS RESENDE,89.0,M,100,11167559.0
 LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,69.0,M,100,11167559.0
 FREDERICO DE CASTRO ESCALEIRA,85.0,M,100,11167559.0
 JAZIEL PEREIRA DE SOUSA,69.0,M,100,11167559.0
 LEONARDO RIBEIRO ALBUQUERQUE,93.0,M,100,11167559.0
 LUIZ ALBERTO OVANDO,88.0,M,100,11167559.0
 ZACARIAS CALIL HAMU,84.0,M,100,11167559.0
 EDILAZIO GOMES DA SILVA JUNIOR,89.0,M,100,11167559.0
 ÉDIO VIEIRA LOPES,73.0,M,,
 EDUARDO LUIZ BARROS BARBOSA,94.0,M,100,11167559.0
 EDUARDO HENRIQUE MAIA BISMARCK,83.0,M,100,11167559.0
 EDUARDO NANTES BOLSONARO,78.0,M,100,11167559.0
 JOSE EDUARDO PEREIRA DA COSTA,84.0,M,100,11167559.0
 EDUARDO PEDROSA CURY,90.0,M,100,11167559.0
 EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,86.0,M,100,11167559.0
 EFRAIM DE ARAÚJO MORAIS FILHO,75.0,M,100,11167559.0
 ELI DIAS BORGES,83.0,M,100,11167559.0
 ADRIANO ELI CORRÊA,84.0,M,100,11167559.0
 ELIAS VAZ DE ANDRADE,84.0,M,100,11167559.0
 ELMAR JOSE VIEIRA NASCIMENTO,69.0,M,100,11167559.0
 EMANUEL PINHEIRO DA SILVA PRIMO,72.0,M,100,11167559.0
 EMIDIO ALVES MADEIRA JUNIOR,81.0,M,100,11167559.0
 ENIO JOSÉ VERRI,91.0,M,100,11167559.0
 ENRICO VAN BLARCUM DE GRAAFF MISASI,87.0,M,100,11167559.0
 EROS FERREIRA BIONDINI,90.0,M,100,11167559.0
 EUCLYDES MARCOS PETTERSEN NETO,79.0,M,100,11167559.0
 EVAIR VIEIRA DE MELO,89.0,M,100,11167559.0
 EXPEDITO GONCALVES FERREIRA NETTO,84.0,M,100,11167559.0
 FABIO HENRIQUE SANTANA DE CARVALHO,92.0,M,100,11167559.0
 FABIO CRUZ MITIDIERI,54.0,M,100,11167559.0
 FÁBIO AUGUSTO RAMALHO DOS SANTOS,90.0,M,100,11167559.0
 FABIO DE ALMEIDA REIS,82.0,M,100,11167559.0
 FÁBIO LUIZ SCHIOCHET FILHO,87.0,M,100,11167559.0
 FÁBIO RICARDO TRAD,90.0,M,100,11167559.0
 FAUSTO RUY PINATO,79.0,M,100,11167559.0
 FELÍCIO LATERÇA DE ALMEIDA,86.0,M,100,11167559.0
 FELIPE AUGUSTO LYRA CARRERAS,79.0,M,100,11167559.0
 LUIS FELIPE BONATTO FRANCISCHINI,88.0,M,100,11167559.0
 FELIPE RIGONI LOPES,87.0,M,100,11167559.0
 FELIX DE ALMEIDA MENDONÇA JÚNIOR,88.0,M,100,11167559.0
 FERNANDO BEZERRA DE SOUZA COELHO FILHO,83.0,M,100,11167559.0
 FERNANDO MONTEIRO DE ALBUQUERQUE,89.0,M,100,11167559.0
 FERNANDO RODOLFO TENORIO DE VASCONCELOS,85.0,M,100,11167559.0
 FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,84.0,M,100,11167559.0
 FLAVIANO FLÁVIO BAPTISTA DE MELO,84.0,M,100,11167559.0
 FLÁVIO RODRIGUES NOGUEIRA,93.0,M,100,11167559.0
 FRANCISCO RODRIGUES VALE JUNIOR,89.0,M,100,11167559.0
 FRANCO CARTAFINA GOMES,88.0,M,100,11167559.0
 FREDERICO BORGES DA COSTA,85.0,M,100,11167559.0
 ANTONIO RIBEIRO,88.0,M,100,11167559.0
 GELSON DE AZEVEDO ALMEIDA,90.0,M,100,11167559.0
 GENECIAS MATEUS NORONHA,58.0,M,100,11167559.0
 ELIÉSER GIRÃO MONTEIRO FILHO,87.0,M,100,11167559.0
 ROBERTO SEBASTIÃO PETERNELLI JUNIOR,90.0,M,100,11167559.0
 EUGENIO JOSÉ ZULIANI,51.0,M,100,11167559.0
 GERVÁSIO AGRIPINO MAIA,83.0,M,100,11167559.0
 FERNANDO LÚCIO GIACOBO,88.0,M,100,11167559.0
 GILLIANO FRED NASCIMENTO CUTRIM,78.0,M,100,11167559.0
 GILBERTO APARECIDO ABRAMO,87.0,M,100,11167559.0
 GILBERTO NASCIMENTO SILVA,67.0,M,100,11167559.0
 GILSON MARQUES VIEIRA,90.0,M,100,11167559.0
 GIOVANI CHERINI,88.0,M,100,11167559.0
 GIOVANI BATISTA FELTES,93.0,M,100,11167559.0
 GLAUBER DE MEDEIROS BRAGA,90.0,M,100,11167559.0
 GLAUSKSTON BATISTA RIOS,75.0,M,100,11167559.0
 LUIZ GONZAGA PATRIOTA,82.0,M,100,11167559.0
 JOSÉ GUILHERME NEGRÃO PEIXOTO,94.0,M,100,11167559.0
 GUILHERME MUSSI FERREIRA,56.0,M,100,11167559.0
 JOÃO CARLOS SOARES GURGEL,93.0,M,100,11167559.0
 GUSTAVO BONATO FRUET,92.0,M,100,11167559.0
 LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,78.0,M,100,11167559.0
