Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 RUI GOETHE DA COSTA FALCÃO,87.0,M,100,11167559.0
 RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,81.0,M,100,11167559.0
 SAMUEL MOREIRA DA SILVA JUNIOR,90.0,M,100,11167559.0
 UBIRATAN ANTUNES SANDERSON,91.0,M,100,11167559.0
 SANDRO ALEX CRUZ DE OLIVEIRA,,M,,
 GILSON CARDOSO FAHUR,94.0,M,100,11167559.0
 SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,61.0,M,100,11167559.0
 SÉRGIO LUÍS LACERDA BRITO,69.0,M,100,11167559.0
 SERGIO DE SOUZA,86.0,M,100,11167559.0
 SERGIO TOLEDO DE ALBUQUERQUE,47.0,M,100,11167559.0
 SEVERINO DE LIRA PESSÔA,81.0,M,100,11167559.0
 SIDNEY RICARDO DE OLIVEIRA LEITE,86.0,M,100,11167559.0
 SILAS CÂMARA,68.0,M,100,11167559.0
 SILVIO SERAFIM COSTA FILHO,82.0,M,100,11167559.0
 SOSTENES SILVA CAVALCANTE,92.0,M,100,11167559.0
 STEFANO AGUIAR DOS SANTOS,77.0,M,100,11167559.0
 LUIZ GONZAGA RIBEIRO,,M,,
 FRANCISCO TADEU BARBOSA DE ALENCAR,84.0,M,100,11167559.0
 Tiago Dimas Braga Pereira,91.0,M,100,11167559.0
 TIAGO LIMA MITRAUD DE CASTRO LEITE,94.0,M,100,11167559.0
 FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,71.0,M,100,11167559.0
 CARLOS TITO MARQUES CORDEIRO,94.0,M,100,11167559.0
 ANTONIO WANDSCHEER,81.0,M,100,11167559.0
 TÚLIO GADÊLHA SALES DE MELO,86.0,M,100,11167559.0
 ULDURICO ALENCAR PINTO,78.0,M,100,11167559.0
 FRANCISCO VAIDON OLIVEIRA,56.0,M,100,11167559.0
 VALMIR CARLOS DA ASSUNÇÃO,85.0,M,100,11167559.0
 VANDER LUIZ DOS SANTOS LOUBET,89.0,M,100,11167559.0
 VANDERLEI MACRIS,83.0,M,100,11167559.0
 WAGNER BACH MARTINS,84.0,M,100,11167559.0
 NELSI COGUETTO MARIA,87.0,M,100,11167559.0
 VICENTE PAULO DA SILVA,85.0,M,100,11167559.0
 VICENTE ALVES DE OLIVEIRA JUNIOR,71.0,M,100,11167559.0
 VILSON LUIZ DA SILVA,90.0,M,100,11167559.0
 VINICIUS RAPOZO DE CARVALHO,81.0,M,100,11167559.0
 VINICIUS MEDEIROS FARAH,47.0,M,100,11167559.0
 VINICIUS LAZZER POIT,88.0,M,,
 VITOR LIPPI,91.0,M,100,11167559.0
 WALDENOR ALVES PEREIRA FILHO,86.0,M,100,11167559.0
 WALTER PEREIRA ALVES,77.0,M,100,11167559.0
 WELITON FERNANDES PRADO,92.0,M,100,11167559.0
 JOSÉ WELLINGTON ROBERTO,66.0,M,100,11167559.0
 JOSÉ WILSON SANTIAGO,85.0,M,100,11167559.0
 WOLNEY QUEIROZ MACIEL,84.0,M,100,11167559.0
 JOSÉ CARLOS NUNES JÚNIOR,79.0,M,100,11167559.0
 JOSÉ CERQUEIRA DE SANTANA NETO,85.0,M,100,11167559.0
 JOSÉ SILVA SOARES,83.0,M,100,11167559.0
 JOSE VITOR DE RESENDE AGUIAR,75.0,M,100,11167559.0
 JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,77.0,M,100,11167559.0
 ADRIANA MIGUEL VENTURA,,F,,
 ALESSANDRA SILVA RIBEIRO,83.0,F,100,11167559.0
 ALICE MAZZUCO PORTUGAL,93.0,F,100,11167559.0
 ALINE PARANHOS VARONIL GURGEL,78.0,F,100,11167559.0
 ALINE SLEUTJES,83.0,F,,
 ANGELA REGINA HEINZEN AMIN HELOU,90.0,F,100,11167559.0
 ÁUREA CAROLINA DE FREITAS E SILVA,77.0,F,100,11167559.0
 BENEDITA SOUZA DA SILVA SAMPAIO,47.0,F,100,11167559.0
 BEATRIZ KICIS TORRENTS DE SORDI,91.0,F,100,11167559.0
 BRUNA DIAS FURLAN VICENTE,41.0,F,100,11167559.0
 HILKEA CARLA DE SOUZA MEDEIROS LIMA,93.0,F,100,11167559.0
 CARLA ZAMBELLI SALGADO DE OLIVEIRA,79.0,F,100,11167559.0
 CARMEN EMÍLIA BONFÁ ZANOTTO,94.0,F,100,11167559.0
 CAROLINE RODRIGUES DE TONI,93.0,F,100,11167559.0
 CELINA LEAO HIZIM FERREIRA,73.0,F,100,11167559.0
 CHRISTINE NOGUEIRA DOS REIS TONIETTO,90.0,F,100,11167559.0
 CHRISTIANE DE SOUZA YARED,85.0,F,100,11167559.0
 CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,86.0,F,100,11167559.0
 DANIELA MOTE DE SOUZA CARNEIRO,82.0,F,100,11167559.0
 SORAYA DE SOUZA MANNATO,94.0,F,100,11167559.0
 VANDA DENIR MILANI NOGUEIRA,72.0,F,100,11167559.0
 DULCE FERREIRA PAGANI MIRANDA,86.0,F,100,11167559.0
 EDNACE ALVES SILVESTRE HENRIQUE,54.0,F,100,11167559.0
 ELCIONE THEREZINHA ZAHLUTH BARBALHO,76.0,F,100,11167559.0
 ÉRIKA JUCÁ KOKAY,92.0,F,100,11167559.0
 FERNANDA MELCHIONNA E SILVA,90.0,F,100,11167559.0
 FLÁVIA CAROLINA PÉRES,62.0,F,100,11167559.0
 FLÁVIA CARREIRO ALBUQUERQUE MORAIS,88.0,F,100,11167559.0
 Geovânia de Sá,93.0,F,100,11167559.0
 GLEISI HELENA HOFFMANN,68.0,F,100,11167559.0
 GREYCE DE QUEIROZ ELIAS,79.0,F,100,11167559.0
 IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,35.0,F,99,11167559.0
 JANDIRA FEGHALI,93.0,F,100,11167559.0
 DIRLAINE JAQUELINE CASSOL,83.0,F,100,11167559.0
 JESSICA ROJAS SALES,42.0,F,100,11167559.0
 JOENIA BATISTA DE CARVALHO,85.0,F,100,11167559.0
 JOICE CRISTINA HASSELMANN,87.0,F,100,11167559.0
 LAURIETE RODRIGUES DE JESUS,91.0,F,100,11167559.0
 LEANDRE DAL PONTE,82.0,F,100,11167559.0
 LEDA MARIA SADALA BRITO,74.0,F,100,11167559.0
 LÍDICE DA MATA E SOUZA,91.0,F,100,11167559.0
 LIZIANE BAYER DA COSTA,94.0,F,100,11167559.0
 LUISA CANZIANI DOS SANTOS SILVEIRA,82.0,F,100,11167559.0
 LUIZA ERUNDINA DE SOUSA,78.0,F,100,11167559.0
 LUIZIANNE DE OLIVEIRA LINS,84.0,F,100,11167559.0
 MAGDA MOFATTO HON,79.0,F,100,11167559.0
 FABIANA SILVA DE SOUZA,76.0,F,100,11167559.0
 CYLMARA FERNANDES DA ROCHA GRIPP,78.0,F,100,11167559.0
 MARGARETE DE CASTRO COELHO,83.0,F,100,11167559.0
 MARIA DO ROSÁRIO NUNES,79.0,F,100,11167559.0
 MARIA DO PARTO MENDES ROSAS,64.0,F,100,11167559.0
 MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,55.0,F,100,11167559.0
 MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,66.0,F,100,11167559.0
 MARINA SANTOS BATISTA DIAS,92.0,F,100,11167559.0
 NATÁLIA BASTOS BONAVIDES,88.0,F,100,11167559.0
 NORMA AYUB ALVES,79.0,F,100,11167559.0
 PATRICIA LIMA FERRAZ,12.0,F,,
 PAULA MORENO PARO BELMONTE,89.0,F,,11167559.0
 MARIA PERPÉTUA DE ALMEIDA,88.0,F,100,11167559.0
 KATIA DA SILVA SASTRE,93.0,F,100,11167559.0
 DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,69.0,F,100,11167559.0
 MARIA AUXILIADORA SEABRA REZENDE,71.0,F,100,11167559.0
 MARCIVANIA DO SOCORRO DA ROCHA FLEXA,93.0,F,100,11167559.0
 ROSA NEIDE SANDES DE ALMEIDA,90.0,F,100,11167559.0
 REJANE RIBEIRO SOUSA DIAS,90.0,F,100,11167559.0
 RENATA HELLMEISTER DE ABREU,50.0,F,100,11167559.0
 ROSANA DE OLIVEIRA VALLE,89.0,F,100,11167559.0
 ROSANGELA DE SOUZA GOMES,79.0,F,100,11167559.0
 ROSIANE MODESTO DE OLIVEIRA,79.0,F,100,11167559.0
 SAMIA DE SOUZA BOMFIM,80.0,F,100,11167559.0
 SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,54.0,F,100,11167559.0
 SILVIA CRISTINA AMANCIO CHAGAS,91.0,F,100,11167559.0
 SORAYA ALENCAR DOS SANTOS,92.0,F,100,11167559.0
 TABATA CLAUDIA AMARAL DE PONTES,89.0,F,100,11167559.0
 TALIRIA PETRONE SOARES,76.0,F,100,11167559.0
 TEREZA CRISTINA CORREA DA COSTA DIAS,65.0,F,,
 TEREZA NELMA DA SILVA PORTO VIANA SOARES,81.0,F,100,11167559.0
 VIVIANE DA COSTA REIS,83.0,F,100,11167559.0
